serial_no,mark_id_char
60146682,MACHINE-PISTOL
60149828,THOMPSON
70011408,"MONARCH MIXED PAINT SENOUR MANUFACTURING COMPANY, PURE LINSEED OIL, WHITE LEND & ZINC, NO BENZINE, NO WATER, OFFICE AND FACTORY NOS. 72 & 74 EWING ST. CHICAGO"
70011709,NESTLE
70011710,NESTLE
70011711,HENRI NESTLE
70011863,VALOID
70012355,RHEINGOLD
70012441,TAM O'SHANTER
70012442,MONTGOMERIESTONE
70012443,DALMORE HONE
70012857,FAIRY
70013054,DAISY BRAND CONDENSED MILK
70013064,ORIGINAL BUDWEISER BUDWEISER LAGER BIER ONLY GENUINE AS DECREED BY THE COURTS ORIGINAL AS DECREED BY THE COURTS
70013253,WASHBURN'S GOLD MEDAL
70013299,GIANT REVERE RUBBER COMPANY GIANT
70014118,SWAN
70014244,SK OF L CIGAR MAKES OF AMERICA
70014364,"WELCOME SOAP POWDER CURTIS DAVIS & CO BOSTON, MASS., U.S.A."
70014441,SUNLIGHT
70014527,AYER'S SARSAPARILLA THE BEST BLOOD MEDICINE
70015086,OCTAGON
70015226,PHOSPHOR BRONZE
70015321,JENKINS DISC.
70015376,STANDARD REMINGTON TYPEWRITER TO SAVE TIME IS TO LENGTHEN LIFE.
70015437,D DRESDEN EXTRA BRILLIANT
70015801,CHAMPION CONDENSED MILK
70015960,REMINGTON
70016114,"ANAGLYPTA WALL DECORATION SANITARY BEAUTIFUL DURABLE INEXPENSIVE WORKS, QUEEN'S MILLS, LANCASTER LONDON WAREHOUSE, 92 & 93 GT. RUSSELL ST., W.C."
70016140,"THE SHAMROCK WHISKY KIRKER, GREER & CO BELFAST."
70016314,SUNBEAM.
70016443,VINOLIA
70016486,HENRY WHITE AND CO.'S RED HEART RUM LONDON
70016487,TRIPLE MOTION WHITE MOUNTAIN ICE CREAM FREEZER
70016709,LA COLLERETTE MARQUE DEPOSEE
70017825,AUNT JEMIMA
70017953,ROYAL WORCESTER
70017960,COD-LIVER OIL SCOTT'S EMULSION
70018310,THE WESTERN BOILER COMPOUND
70018423,"BRECKNELL, TURNER & SONS PREPARED SADDLE SOAP 31 & 32, HAYMARKET, LONDON."
70018541,G. T. GOULD TEA OLD COUNTRY ENGLISH BREAKFAST TEA
70019225,"SCOTT'S EMULSION P.P.P. OF PURE COD LIVER OIL SCOTT & BOWNE MANUFACTURING CHEMISTS, NEW YORK. EXCLUSIVELY FOR EXPORT. PERFECT PERMANENT PALATABLE WITH HYPOPHOSPHITES OF LIME AND SODA. A RELIABLE REMEDY FOR PULMONARY DISEASES, COUGHS, COLDS, AND GENERAL DEBILITY."
70019634,CLICQUOT-CLUB
70019679,MAIZENA
70019680,MAIZENA
70019752,LITTLE GIANT.
70019979,WOODWARD'S GRIPE WATER
70020157,THE DAINTY FIRST QUALITY
70020175,NELSON MORRIS & CO MATCHLESS BRAND EXTRA SUGAR CURED HAMS CHICAGO
70020737,PETERS SHOE CO'S DIAMOND BRAND ST. LOUIS
70020770,NONPAREIL OIL
70020903,BALDWIN.
70020911,FAIR & SQUARE
70020942,SEEMAN BROS. FAMOUS WHITE ROSE CORN
70020952,FRICTIONLESS.
70020970,COMMON SENSE
70021085,"""LYPSYL"""
70021191,PV
70021208,LEA & PERRINS WORCHESTERSHIRE SAUCE
70021318,HUDOR
70021340,BLUE RIBBON BRAND
70021464,ELGIN NATIONAL WATCH CO.
70021571,J&W.NICHOLSON&CO. SCOTCH WHISKY LONDON
70021630,COTTONOID
70021647,VAPO-CRESOLENE
70021676,NUGGET.
70021716,REAL COMPANHIA DOS VINHOS DO PORTO
70021856,I WILL
70021900,ALCOOL DE MENTHE DE RICQLES
70021903,KUTTYHUNK
70021933,REFLEX
70022212,PARCHED ROLLED OATS QUAIL BRAND
70022266,STORM'S
70022335,JENKINS TRADE MARK
70022384,D.M.C.
70022386,D.M.C.
70022387,D.M.C.
70022394,NAVALITE
70022406,COCA-COLA
70022436,ATLAS WASHING FLUID
70022443,COSMOLINE
70022536,PEERLESS BRAND
70022546,CASHMERE BOUQUET
70022547,CASHMERE
70022548,CAPRICE
70022623,MICANITE PERFECT INSULATOR
70022752,PS STUBS
70022753,STUBS
70022843,PEARS
70023017,FOWNES'
70023089,SEEMAN BROS. FAMOUS WHITE ROSE PEARS
70023126,SEEMAN BROS. FAMOUS WHITE ROSE FARINA
70023291,ARMOUR'S VEGETOLE
70023353,HOOD'S SARSAPARILLA CIH & CO COMPOUND EXTRACT
70023420,GARLOCK
70023441,CRESOLENE.
70023463,CREAM OF THE PRAIRIE SUGAR CORN FINEST QUALITY PACKED BY THE ILLINOIS CANNING CO HOOPESTON ILL
70023464,BABY BUNTING
70023481,PRIDE OF ILLINOIS SUGAR CORN PACKED BY THE ILLINOIS CANNING CO
70023509,SPOT CORD
70023616,EUREKA
70023617,PARAGON
70023640,UNIVERSAL
70023649,EXCELSIOR
70023664,IZAL
70023770,H-O
70023788,HOVIS
70023794,GRAY'S COMPOUND TONIC FORMULA DR. JOHN P. GRAY
70023823,SOMATOSE
70023850,FERNET BRANCA FRATELLI BRANCA E CO
70023873,WHITE ROCK
70023877,FERNET BRANCA FRATELLI BRANCA E COMP.
70023896,THE BAKER CASTOR OIL WORKS MANUFACTURERSOF CRYSTAL COLD PRESSED CASTOR OIL H J BAKER & BRO AGTS NEW YORK
70023898,FERNET BRANCA FRATELLI BRANCA E COMP
70023899,FERNET-BRANCA FRATELLI BRANCA E COMP
70024004,OLD GLORY
70024049,MILK OF MAGNESIA
70024058,HIRES ROOTBEER.
70024295,"""LUXURY"""
70024555,FOWLER BROS PEACH BRAND LARD GUARANTEED ABSOLUTELY CHICAGO PURE
70024620,CALLARD & BOWSER
70024657,BROOKS
70024818,SARATOGA FLAKES
70025029,PEACH BRAND
70025036,OMEGA
70025043,PEACH LEAF LARD
70025119,INVINCIBLE
70025168,MAGNOLIA
70025222,C F S CO SAUER'S TRADE MARK.
70025455,SWAMP ROOT
70025494,S. ANDRAL KILMER M.D.
70025550,BABCOCK & WILCOX
70025573,THE ONLY GENUINE WHEAT STRAW CIGARETTE PAPER
70025592,STAGS HEAD
70025627,WILLIMANTIC THE BEST THREAD FOR SEWING MACHINES
70025628,IVERTON MILLS
70025629,INTRINSIC
70025630,DRAGON SPOOL COTTON 16
70025631,LIBERTY 36
70025632,WILLIMATIC STAR THREAD SIX CORD
70025633,SUPERIOR SIX CORD MACHINE THREAD
70025636,ALPHA 3 500 YDS 70
70025669,J & J BALDWIN BEE HIVE B B HALIFAX.
70025674,BEE HIVE
70025770,STANDARD OIL CO OF NEW YORK BY PRESIDENTWM. ROCKEFELLER
70025884,MAGNUS
70025928,CCC
70025989,BULL'S HEAD
70026078,WINEBURGH'S BABESKIN SOAP
70026104,GUDE BROD BROS CHAMPION WARRANTED PURE DVE
70026109,SPLENDOR
70026110,GOLD
70026127,OZOMULSION
70026186,"CERETANA BOZEMAN MILLING COMPANY BOZEMAN, MT. FROM SELECTED HARD WHEAT CERETANA"
70026252,PURE
70026253,QUAKER
70026254,QUAKER PURE
70026342,NIAGARA
70026355,BULL'S HEAD
70026462,BERMALINE
70026468,GOLDEN CROWN CIGARS B & R CO.
